pair_id,team_a_code,team_a_name,team_b_code,team_b_name,pool_key,meetings_count,first_meeting_date,latest_meeting_date,first_winner_code,latest_winner_code,first_point_margin_team_a,latest_point_margin_team_a,margin_shift_team_a,winner_changed
B17HKJVB3NE__B17NESVC2NE,B17HKJVB3NE,Husky 17.3,B17NESVC2NE,NE Storm 17 Landslide,B17,2,2026-01-31,2026-02-01,B17NESVC2NE,B17HKJVB3NE,-11.0,8.0,19.0,True
B16LEGIO1XL__B16SYRVB1XL,B16LEGIO1XL,TeamLVC Boys 16 Black,B16SYRVB1XL,SVC 16 1 Boys,B16,2,2026-01-18,2026-01-19,B16SYRVB1XL,B16LEGIO1XL,-9.0,9.0,18.0,True
B17HKJVB4NE__B17MVPVA2NE,B17HKJVB4NE,Husky 17.4,B17MVPVA2NE,MVP BOS 17 Blue,B17,2,2026-01-31,2026-02-01,B17MVPVA2NE,B17HKJVB4NE,-9.0,8.0,17.0,True
B17PVJVB1NE__B17TTVBC2NE,B17PVJVB1NE,PV Boys 17 1,B17TTVBC2NE,SLAM 17 2 Boys,B17,2,2026-01-17,2026-01-31,B17TTVBC2NE,B17PVJVB1NE,-2.0,15.0,17.0,True
B18CSJVB1NE__B18MCJVB1NE,B18CSJVB1NE,MEVBC/CT STARS 18 1,B18MCJVB1NE,Mill City 18's,B18,2,2026-02-01,2026-03-15,B18MCJVB1NE,B18CSJVB1NE,-14.0,3.0,17.0,True
B18MVNER2NE__B18MVPVA2NE,B18MVNER2NE,Meraki VB 18 2,B18MVPVA2NE,MVP BOS 18 Blue,B18,2,2025-11-22,2026-01-31,B18MVPVA2NE,B18MVNER2NE,-7.0,10.0,17.0,True
B16NEVBC1NE__B16SJJVB2NE,B16NEVBC1NE,NEVBC Boys 16.1,B16SJJVB2NE,SMASH Boys 16's Fire,B16,2,2025-12-20,2026-01-31,B16SJJVB2NE,B16NEVBC1NE,-15.0,1.0,16.0,True
B17BVJVB1NE__B17TTVBC1NE,B17BVJVB1NE,Blast 17 Ignite,B17TTVBC1NE,SLAM 17 1 Boys,B17,2,2025-11-22,2026-01-18,B17TTVBC1NE,B17BVJVB1NE,-12.0,3.0,15.0,True
B17MVNER1NE__B17MVPVA1NE,B17MVNER1NE,Meraki VB 17 1,B17MVPVA1NE,MVP BOS 17 Black,B17,2,2025-11-22,2025-11-23,B17MVPVA1NE,B17MVNER1NE,-13.0,1.0,14.0,True
B18HKJVB1NE__B18LEGIO1XL,B18HKJVB1NE,Husky 18.1,B18LEGIO1XL,TeamLVC Boys 18 Black,B18,2,2026-02-01,2026-03-14,B18LEGIO1XL,B18HKJVB1NE,-5.0,9.0,14.0,True
B18HKJVB1NE__B18LHVBC1NE,B18HKJVB1NE,Husky 18.1,B18LHVBC1NE,LHV Boys 18-1 Rafiki,B18,2,2026-02-01,2026-03-15,B18LHVBC1NE,B18HKJVB1NE,-9.0,4.0,13.0,True
B17CAPIT2XL__B17PVJVB1NE,B17CAPIT2XL,CSVC 17 SKYLIGHT,B17PVJVB1NE,PV Boys 17 1,B17,2,2025-12-20,2026-01-19,B17PVJVB1NE,B17CAPIT2XL,-8.0,4.0,12.0,True
B17MVPVA1NE__B17SPTMC5GE,B17MVPVA1NE,MVP BOS 17 Black,B17SPTMC5GE,Sportime 17 Lynbrook,B17,2,2026-02-06,2026-02-08,B17SPTMC5GE,B17MVPVA1NE,-3.0,9.0,12.0,True
B161130588XX__B16NYCIV2GE,B161130588XX,NY Strangers 16,B16NYCIV2GE,NYC Impact 16U Travel,B16,2,2026-02-06,2026-02-08,B16NYCIV2GE,B161130588XX,-4.0,4.0,8.0,True
B16NESVC2NE__B16PVJVB1NE,B16NESVC2NE,NE Storm 16 Monsoon,B16PVJVB1NE,PV Boys 16 1,B16,2,2026-03-14,2026-03-15,B16PVJVB1NE,B16NESVC2NE,-4.0,4.0,8.0,True
B14NEVBC1NE__B14SJJVB1NE,B14NEVBC1NE,NEVBC Boys 14.1,B14SJJVB1NE,SMASH Boys 14-1,B14,2,2026-02-01,2026-03-15,B14SJJVB1NE,B14NEVBC1NE,-4.0,2.0,6.0,True
B18NESVC1NE__B18NEVBC2NE,B18NESVC1NE,NE Storm 18 Thunder,B18NEVBC2NE,NEVBC Boys 18.2,B18,2,2026-01-31,2026-03-15,B18NEVBC2NE,B18NESVC1NE,-4.0,0.0,4.0,True
B15RRJVB2NE__B15SJVBC1NE,B15RRJVB2NE,Boston United Boys 15 Select 1,B15SJVBC1NE,South County Juniors Boys 15 1,B15,2,2025-11-22,2026-01-31,B15SJVBC1NE,B15RRJVB2NE,2.0,5.0,3.0,True
B17CORE11GE__B17RRJVB1NE,B17CORE11GE,CORE Boys 17 Platinum,B17RRJVB1NE,Boston United Boys 17 National 1,B17,2,2026-02-06,2026-02-07,B17RRJVB1NE,B17CORE11GE,2.0,5.0,3.0,True
B16LCVBC1GE__B16RRJVB1NE,B16LCVBC1GE,Legacy Boys 16 National,B16RRJVB1NE,Boston United Boys 16 National 1,B16,2,2026-02-07,2026-02-08,B16RRJVB1NE,B16LCVBC1GE,-1.0,1.0,2.0,True
B17NESVC2NE__B17NEVBC2NE,B17NESVC2NE,NE Storm 17 Landslide,B17NEVBC2NE,NEVBC Boys 17.2,B17,2,2026-03-14,2026-03-15,B17NESVC2NE,B17NEVBC2NE,-5.0,-5.0,0.0,True
B18BVJVB1NE__B18MVPVA1NE,B18BVJVB1NE,Blast 18 Fire,B18MVPVA1NE,MVP BOS 18 Black,B18,2,2025-11-22,2026-02-01,B18BVJVB1NE,B18MVPVA1NE,-0.0,-1.0,-1.0,True
B15NEVBC3NE__B15TTVBC1NE,B15NEVBC3NE,NEVBC Boys 15 Blue,B15TTVBC1NE,SLAM 15 1 Boys,B15,2,2025-11-23,2026-03-15,B15NEVBC3NE,B15TTVBC1NE,1.0,-2.0,-3.0,True
B18DIGSV1GE__B18PWRSP1SU,B18DIGSV1GE,Digs Boys 18 Red,B18PWRSP1SU,PSA Power 18,B18,2,2026-02-06,2026-02-07,B18PWRSP1SU,B18DIGSV1GE,-4.0,-7.0,-3.0,True
B18118281XX__B18XTREM2GE,B18118281XX,PW-VB Quarter-Zip Elite 67-Matcha,B18XTREM2GE,Xtreme 18 National Kelly,B18,2,2026-02-06,2026-02-08,B18118281XX,B18XTREM2GE,5.0,-0.0,-5.0,True
B16LHVBC1NE__B16SJJVB2NE,B16LHVBC1NE,LHV Boys 16-1 Valiants,B16SJJVB2NE,SMASH Boys 16's Fire,B16,2,2026-01-31,2026-02-01,B16LHVBC1NE,B16SJJVB2NE,-2.0,-10.0,-8.0,True
B16NESVC1NE__B16RRJVB1NE,B16NESVC1NE,NE Storm 16 Lightning,B16RRJVB1NE,Boston United Boys 16 National 1,B16,2,2025-11-22,2026-03-14,B16NESVC1NE,B16RRJVB1NE,6.0,-3.0,-9.0,True
B17CAPIT2XL__B17RRJVB2NE,B17CAPIT2XL,CSVC 17 SKYLIGHT,B17RRJVB2NE,Boston United Boys 17 Northeast,B17,2,2026-02-07,2026-03-15,B17CAPIT2XL,B17RRJVB2NE,4.0,-5.0,-9.0,True
B17HKJVB4NE__B17PVJVB3NE,B17HKJVB4NE,Husky 17.4,B17PVJVB3NE,PV Boys 17 3,B17,2,2026-03-14,2026-03-15,B17HKJVB4NE,B17PVJVB3NE,5.0,-4.0,-9.0,True
B16NEVBC2NE__B16TTVBC1NE,B16NEVBC2NE,NEVBC Boys 16.2,B16TTVBC1NE,SLAM 16 1 Boys,B16,2,2026-03-14,2026-03-15,B16NEVBC2NE,B16TTVBC1NE,3.0,-7.0,-10.0,True
B17NESVC3NE__B17PVJVB2NE,B17NESVC3NE,NE Storm 17 Wildfire,B17PVJVB2NE,PV Boys 17 2,B17,2,2026-01-18,2026-03-15,B17NESVC3NE,B17PVJVB2NE,5.0,-5.0,-10.0,True
B17MVNER1NE__B17RRJVB1NE,B17MVNER1NE,Meraki VB 17 1,B17RRJVB1NE,Boston United Boys 17 National 1,B17,2,2025-11-22,2026-03-14,B17MVNER1NE,B17RRJVB1NE,-0.0,-12.0,-12.0,True
B16BVJVB2NE__B16NEVBC3NE,B16BVJVB2NE,Blast 16 Pyro,B16NEVBC3NE,NEVBC Boys 16 Blue,B16,2,2025-11-23,2026-03-14,B16BVJVB2NE,B16NEVBC3NE,-4.0,-17.0,-13.0,True
B17BVJVB1NE__B17PVJVB1NE,B17BVJVB1NE,Blast 17 Ignite,B17PVJVB1NE,PV Boys 17 1,B17,2,2026-01-18,2026-02-01,B17BVJVB1NE,B17PVJVB1NE,7.0,-7.0,-14.0,True
B18MMVBC2NE__B18NESVC1NE,B18MMVBC2NE,Mayhem 18 2,B18NESVC1NE,NE Storm 18 Thunder,B18,2,2025-11-22,2026-02-01,B18MMVBC2NE,B18NESVC1NE,7.0,-7.0,-14.0,True
B16BVJVB1NE__B16PVJVB1NE,B16BVJVB1NE,Blast 16 Inferno,B16PVJVB1NE,PV Boys 16 1,B16,2,2026-01-17,2026-01-19,B16BVJVB1NE,B16PVJVB1NE,8.0,-7.0,-15.0,True
B14CAPIT1XL__B14LHVBC1NE,B14CAPIT1XL,CSVC 14 CASCADE,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2,2026-01-17,2026-02-08,B14CAPIT1XL,B14LHVBC1NE,10.0,-6.0,-16.0,True
B15RRJVB2NE__B15SJJVB2NE,B15RRJVB2NE,Boston United Boys 15 Select 1,B15SJJVB2NE,SMASH Boys 15 Lightning,B15,2,2026-01-31,2026-03-15,B15RRJVB2NE,B15SJJVB2NE,4.0,-13.0,-17.0,True
B17CAPIT2XL__B17PVJVB2NE,B17CAPIT2XL,CSVC 17 SKYLIGHT,B17PVJVB2NE,PV Boys 17 2,B17,2,2026-01-17,2026-03-14,B17CAPIT2XL,B17PVJVB2NE,10.0,-7.0,-17.0,True
B17MVPVA1NE__B17RRJVB1NE,B17MVPVA1NE,MVP BOS 17 Black,B17RRJVB1NE,Boston United Boys 17 National 1,B17,2,2025-11-22,2026-02-08,B17MVPVA1NE,B17RRJVB1NE,-2.0,-19.0,-17.0,True
B17NESVC3NE__B17PVJVB3NE,B17NESVC3NE,NE Storm 17 Wildfire,B17PVJVB3NE,PV Boys 17 3,B17,2,2026-01-18,2026-03-14,B17NESVC3NE,B17PVJVB3NE,6.0,-11.0,-17.0,True
B18BVJVB1NE__B18RRJVB1NE,B18BVJVB1NE,Blast 18 Fire,B18RRJVB1NE,Boston United Boys 18 1,B18,2,2025-11-22,2025-11-23,B18BVJVB1NE,B18RRJVB1NE,15.0,-4.0,-19.0,True
B18MCJVB1NE__B18MMVBC1NE,B18MCJVB1NE,Mill City 18's,B18MMVBC1NE,Mayhem 18 1,B18,2,2025-11-22,2025-11-23,B18MCJVB1NE,B18MMVBC1NE,12.0,-7.0,-19.0,True
B15LHVBC1NE__B15SAVBC1XL,B15LHVBC1NE,LHV Boys 15-1 Eclipse,B15SAVBC1XL,Sporting Albany Boys 15u,B15,2,2026-01-31,2026-02-01,B15LHVBC1NE,B15SAVBC1XL,23.0,2.0,-21.0,True
B17MVNER1NE__B17NESVC3NE,B17MVNER1NE,Meraki VB 17 1,B17NESVC3NE,NE Storm 17 Wildfire,B17,2,2026-01-17,2026-01-19,B17MVNER1NE,B17NESVC3NE,12.0,-11.0,-23.0,True
B17NESVC1NE__B17SPTMC3GE,B17NESVC1NE,NE Storm 17 Tsunami,B17SPTMC3GE,Sportime 17 3,B17,2,2026-02-06,2026-02-08,B17NESVC1NE,B17SPTMC3GE,14.0,-10.0,-24.0,True
B18NYCVA1GE__B18PWRSP1SU,B18NYCVA1GE,NYC VBA 18 Riverside,B18PWRSP1SU,PSA Power 18,B18,2,2026-02-06,2026-02-08,B18NYCVA1GE,B18PWRSP1SU,11.0,-13.0,-24.0,True
B18RAPTO1GE__B18TUSVA1GE,B18RAPTO1GE,NYC Raptors 18 Black,B18TUSVA1GE,Train Up VB 18 1,B18,2,2026-02-07,2026-02-08,B18RAPTO1GE,B18TUSVA1GE,11.0,-13.0,-24.0,True
B16MVNER1NE__B16PVJVB1NE,B16MVNER1NE,Meraki VB 16 1,B16PVJVB1NE,PV Boys 16 1,B16,2,2026-01-18,2026-01-19,B16MVNER1NE,B16PVJVB1NE,11.0,-15.0,-26.0,True
B16LHVBC2NE__B16RRJVB3NE,B16LHVBC2NE,LHV Boys 16-2 Hunters,B16RRJVB3NE,Boston United Boys 16 Select 1,B16,2,2025-11-22,2026-01-18,B16LHVBC2NE,B16RRJVB3NE,15.0,-12.0,-27.0,True
B17117902XX__B17LCVBC2GE,B17117902XX,Torrimar 17 2,B17LCVBC2GE,Legacy Boys 17 Premier,B17,2,2026-02-07,2026-02-07,B17117902XX,B17LCVBC2GE,20.0,-7.0,-27.0,True
B15TTVBC1NE__B16PVJVB2NE,B15TTVBC1NE,SLAM 15 1 Boys,B16PVJVB2NE,PV Boys 16 2,MIXED,2,2026-01-18,2026-01-19,B15TTVBC1NE,B16PVJVB2NE,17.0,-12.0,-29.0,True
B15RRJVB1NE__B15TACCU1GE,B15RRJVB1NE,Boston United Boys 15 National,B15TACCU1GE,Accuracy 15 Champ,B15,2,2025-11-22,2026-02-07,B15RRJVB1NE,B15TACCU1GE,15.0,-15.0,-30.0,True
B14LHVBC1NE__B14MVPVA1NE,B14LHVBC1NE,LHV Boys 14-1 Premier,B14MVPVA1NE,MVP BOS 14 Black,B14,5,2025-11-22,2026-02-08,B14LHVBC1NE,B14LHVBC1NE,4.0,6.0,2.0,False
B17BVJVB1NE__B17NESVC1NE,B17BVJVB1NE,Blast 17 Ignite,B17NESVC1NE,NE Storm 17 Tsunami,B17,4,2025-11-22,2026-03-15,B17NESVC1NE,B17NESVC1NE,-10.0,-5.0,5.0,False
B15MCJVB1NE__B15RRJVB1NE,B15MCJVB1NE,Mill City 15's,B15RRJVB1NE,Boston United Boys 15 National,B15,4,2025-11-23,2026-03-15,B15RRJVB1NE,B15RRJVB1NE,-15.0,-12.0,3.0,False
B14117752XX__B14LHVBC1NE,B14117752XX,ValleyVBC Elite Boys,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,4,2025-11-22,2026-01-31,B14117752XX,B14117752XX,19.0,17.0,-2.0,False
B17MVNER2NE__B17RRJVB3NE,B17MVNER2NE,Meraki VB 17 2,B17RRJVB3NE,Boston United Boys 17 Select 1,B17,4,2025-11-23,2026-03-15,B17RRJVB3NE,B17RRJVB3NE,-12.0,-16.0,-4.0,False
B14117752XX__B14RRJVB1NE,B14117752XX,ValleyVBC Elite Boys,B14RRJVB1NE,Boston United Boys 14-1,B14,4,2025-11-22,2026-03-15,B14117752XX,B14117752XX,24.0,-1.0,-25.0,False
B16BVJVB1NE__B16MCJVB1NE,B16BVJVB1NE,Blast 16 Inferno,B16MCJVB1NE,Mill City 16's,B16,3,2025-11-22,2026-03-14,B16MCJVB1NE,B16MCJVB1NE,-17.0,-2.0,15.0,False
B17PVJVB2NE__B17RRJVB3NE,B17PVJVB2NE,PV Boys 17 2,B17RRJVB3NE,Boston United Boys 17 Select 1,B17,3,2026-01-19,2026-03-14,B17PVJVB2NE,B17PVJVB2NE,1.0,13.0,12.0,False
B14SAVBC1XL__B14SJJVB1NE,B14SAVBC1XL,Sporting Albany Boys 14u,B14SJJVB1NE,SMASH Boys 14-1,B14,3,2025-12-20,2026-02-01,B14SJJVB1NE,B14SJJVB1NE,-22.0,-11.0,11.0,False
B14CAPIT1XL__B14CAPIT2XL,B14CAPIT1XL,CSVC 14 CASCADE,B14CAPIT2XL,CSVC 14 SAWTEETH,B14,3,2025-12-20,2026-01-17,B14CAPIT2XL,B14CAPIT2XL,-10.0,-1.0,9.0,False
B14RRJVB1NE__B14SJJVB2NE,B14RRJVB1NE,Boston United Boys 14-1,B14SJJVB2NE,SMASH Boys 14's Thunder,B14,3,2026-01-31,2026-03-15,B14RRJVB1NE,B14RRJVB1NE,17.0,25.0,8.0,False
B18LHVBC1NE__B18SJVBC1NE,B18LHVBC1NE,LHV Boys 18-1 Rafiki,B18SJVBC1NE,South County Juniors Boys 18's Blue,B18,3,2025-11-23,2026-03-14,B18SJVBC1NE,B18SJVBC1NE,-8.0,-0.0,8.0,False
B14CAPIT2XL__B14SJJVB2NE,B14CAPIT2XL,CSVC 14 SAWTEETH,B14SJJVB2NE,SMASH Boys 14's Thunder,B14,3,2025-12-21,2026-03-14,B14SJJVB2NE,B14SJJVB2NE,-11.0,-4.0,7.0,False
B14NEVBC1NE__B14RRJVB1NE,B14NEVBC1NE,NEVBC Boys 14.1,B14RRJVB1NE,Boston United Boys 14-1,B14,3,2026-01-31,2026-03-14,B14NEVBC1NE,B14NEVBC1NE,10.0,14.0,4.0,False
B15SAVBC1XL__B15SJJVB2NE,B15SAVBC1XL,Sporting Albany Boys 15u,B15SJJVB2NE,SMASH Boys 15 Lightning,B15,3,2025-12-20,2026-03-14,B15SJJVB2NE,B15SJJVB2NE,-9.0,-7.0,2.0,False
B16MVPVA1NE__B16RRJVB1NE,B16MVPVA1NE,MVP BOS 16 Black,B16RRJVB1NE,Boston United Boys 16 National 1,B16,3,2025-11-22,2026-02-06,B16MVPVA1NE,B16MVPVA1NE,9.0,10.0,1.0,False
B17LHVBC2NE__B17PVJVB3NE,B17LHVBC2NE,LHV Boys 17-2 Boom,B17PVJVB3NE,PV Boys 17 3,B17,3,2026-01-19,2026-02-01,B17PVJVB3NE,B17PVJVB3NE,-7.0,-6.0,1.0,False
B16LEGIO1XL__B16NESVC1NE,B16LEGIO1XL,TeamLVC Boys 16 Black,B16NESVC1NE,NE Storm 16 Lightning,B16,3,2026-01-17,2026-03-15,B16LEGIO1XL,B16LEGIO1XL,13.0,13.0,0.0,False
B18NESVC3NE__B18PVJVB4NE,B18NESVC3NE,NE Storm 18 Tornado,B18PVJVB4NE,PV Boys 18 4,B18,3,2026-01-18,2026-03-14,B18PVJVB4NE,B18PVJVB4NE,-7.0,-10.0,-3.0,False
B18LHVBC1NE__B18MVPVA1NE,B18LHVBC1NE,LHV Boys 18-1 Rafiki,B18MVPVA1NE,MVP BOS 18 Black,B18,3,2025-11-22,2026-02-06,B18MVPVA1NE,B18MVPVA1NE,-6.0,-10.0,-4.0,False
B15RRJVB1NE__B15SAVBC1XL,B15RRJVB1NE,Boston United Boys 15 National,B15SAVBC1XL,Sporting Albany Boys 15u,B15,3,2025-12-21,2026-03-15,B15RRJVB1NE,B15RRJVB1NE,20.0,15.0,-5.0,False
B16BVJVB1NE__B16SJVBC1NE,B16BVJVB1NE,Blast 16 Inferno,B16SJVBC1NE,South County Juniors Boys 16's Blue,B16,3,2025-11-22,2026-03-15,B16SJVBC1NE,B16SJVBC1NE,-4.0,-11.0,-7.0,False
B16BVJVB2NE__B16NEVBC4NE,B16BVJVB2NE,Blast 16 Pyro,B16NEVBC4NE,NEVBC Boys 16 Orange,B16,3,2025-11-22,2026-03-15,B16BVJVB2NE,B16BVJVB2NE,12.0,4.0,-8.0,False
B17MVNER1NE__B17TTVBC2NE,B17MVNER1NE,Meraki VB 17 1,B17TTVBC2NE,SLAM 17 2 Boys,B17,3,2025-11-22,2026-03-15,B17MVNER1NE,B17MVNER1NE,13.0,3.0,-10.0,False
B16MCJVB2NE__B16PVJVB2NE,B16MCJVB2NE,Mill City 16 Royal,B16PVJVB2NE,PV Boys 16 2,B16,3,2026-01-31,2026-03-15,B16PVJVB2NE,B16PVJVB2NE,4.0,-11.0,-15.0,False
B17CSJVB1NE__B17TTVBC1NE,B17CSJVB1NE,MEVBC/CT STARS 17 1,B17TTVBC1NE,SLAM 17 1 Boys,B17,3,2026-01-31,2026-03-15,B17TTVBC1NE,B17TTVBC1NE,-5.0,-22.0,-17.0,False
B15ALLIN1FL__B15SPTMC4GE,B15ALLIN1FL,AVA 15 Boys,B15SPTMC4GE,Sportime 15 4,B15,2,2026-02-06,2026-02-07,B15ALLIN1FL,B15ALLIN1FL,7.0,50.0,43.0,False
B15CAPIT1XL__B15SJVBC1NE,B15CAPIT1XL,CSVC 15 PANTHERS,B15SJVBC1NE,South County Juniors Boys 15 1,B15,2,2026-03-14,2026-03-15,B15CAPIT1XL,B15CAPIT1XL,13.0,30.0,17.0,False
B13SJJVB1NE__B14117752XX,B13SJJVB1NE,SMASH Boys 13-1,B14117752XX,ValleyVBC Elite Boys,MIXED,2,2026-02-01,2026-03-14,B14117752XX,B14117752XX,-16.0,-1.0,15.0,False
B16DIGSV1GE__B16LCVBC2GE,B16DIGSV1GE,Digs Boys 16 Red,B16LCVBC2GE,Legacy Boys 16 Premier,B16,2,2026-02-06,2026-02-07,B16DIGSV1GE,B16DIGSV1GE,4.0,19.0,15.0,False
B17NESVC2NE__B17NESVC3NE,B17NESVC2NE,NE Storm 17 Landslide,B17NESVC3NE,NE Storm 17 Wildfire,B17,2,2026-01-18,2026-01-19,B17NESVC2NE,B17NESVC2NE,-3.0,12.0,15.0,False
B15SYRVB1XL__B16NESVC2NE,B15SYRVB1XL,SVC 15 1 Boys,B16NESVC2NE,NE Storm 16 Monsoon,MIXED,2,2026-01-17,2026-01-19,B15SYRVB1XL,B15SYRVB1XL,8.0,22.0,14.0,False
B18BVJVB2NE__B18LHVBC3NE,B18BVJVB2NE,Blast 18 Blaze,B18LHVBC3NE,LHV Boys 18-3 Thunder,B18,2,2026-01-18,2026-02-01,B18LHVBC3NE,B18LHVBC3NE,-22.0,-8.0,14.0,False
B15HKJVB1NE__B15SJVBC1NE,B15HKJVB1NE,Husky 15.1,B15SJVBC1NE,South County Juniors Boys 15 1,B15,2,2026-01-31,2026-02-01,B15HKJVB1NE,B15HKJVB1NE,0.0,12.0,12.0,False
B16CORE11GE__B16MVPVA1NE,B16CORE11GE,CORE Boys 16 Platinum,B16MVPVA1NE,MVP BOS 16 Black,B16,2,2026-02-06,2026-02-08,B16CORE11GE,B16CORE11GE,5.0,16.0,11.0,False
B14CAPIT1XL__B14SAVBC1XL,B14CAPIT1XL,CSVC 14 CASCADE,B14SAVBC1XL,Sporting Albany Boys 14u,B14,2,2025-12-21,2026-03-15,B14SAVBC1XL,B14SAVBC1XL,-25.0,-15.0,10.0,False
B14CORE11GE__B14LHVBC1NE,B14CORE11GE,CORE Boys 14 Platinum,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2,2026-02-06,2026-02-07,B14CORE11GE,B14CORE11GE,9.0,19.0,10.0,False
B14HKJVB1NE__B14RRJVB2NE,B14HKJVB1NE,Husky 14.1,B14RRJVB2NE,Boston United Boys 13 Select 1,B14,2,2026-01-31,2026-03-15,B14HKJVB1NE,B14HKJVB1NE,8.0,18.0,10.0,False
B16BVJVB2NE__B16RRJVB3NE,B16BVJVB2NE,Blast 16 Pyro,B16RRJVB3NE,Boston United Boys 16 Select 1,B16,2,2025-11-22,2026-03-14,B16RRJVB3NE,B16RRJVB3NE,-22.0,-12.0,10.0,False
B14NEVBC1NE__B14SJJVB2NE,B14NEVBC1NE,NEVBC Boys 14.1,B14SJJVB2NE,SMASH Boys 14's Thunder,B14,2,2026-01-31,2026-03-14,B14NEVBC1NE,B14NEVBC1NE,17.0,26.0,9.0,False
B17HKJVB4NE__B17MVNER2NE,B17HKJVB4NE,Husky 17.4,B17MVNER2NE,Meraki VB 17 2,B17,2,2026-01-31,2026-03-15,B17HKJVB4NE,B17HKJVB4NE,11.0,20.0,9.0,False
